Wall time,Step,Value
1574439898.111942,13033,3085.749267578125
1574439898.1120024,13034,2873.7958984375
1574439898.112424,13041,3142.908935546875
1574439898.1129656,13050,2761.771484375
1574439922.5570388,14001,2590.06201171875
1574439922.5571089,14005,2773.00634765625
1574439922.5575972,14010,2880.269775390625
1574439922.5578513,14014,2471.016357421875
1574439922.5583928,14023,2721.40576171875
1574439922.5586314,14027,2821.884765625
1574439922.5586913,14028,2952.140625
1574439922.5587516,14029,3049.109375
1574439922.558871,14031,2795.6015625
1574439922.5592873,14038,2677.58056640625
1574439922.5595846,14043,2681.377685546875
1574439922.5597208,14045,3056.81005859375
1574439922.5600197,14050,2287.117431640625
1574439922.560138,14052,1793.888916015625
1574439946.9154682,15003,3061.72216796875
1574439946.9155374,15007,2733.707763671875
1574439946.9159825,15013,2575.49951171875
1574439946.9160411,15014,2599.726318359375
1574439946.9173849,15037,2332.0712890625
1574439946.917614,15041,2820.69921875
1574439971.243582,16021,3075.089111328125
1574439971.2438972,16026,2593.307861328125
1574439971.2440143,16028,2719.88330078125
1574439971.2444088,16034,2384.37109375
1574439971.2451446,16042,2572.124267578125
1574439971.245514,16048,2511.474365234375
1574439971.2457516,16052,1531.2061767578125
1574439996.1041691,17006,2629.79052734375
1574439996.1045313,17008,2956.698486328125
1574439996.1049976,17014,2603.6904296875
1574439996.105144,17016,2440.19873046875
1574439996.106237,17030,2402.80712890625
1574439996.1063006,17031,2610.5146484375
1574439996.1069393,17041,2424.495361328125
1574439996.1071296,17044,2355.6171875
1574440020.624196,18000,2192.87890625
1574440020.6242676,18004,2476.27685546875
1574440020.6246245,18008,2216.65576171875
1574440020.625201,18017,2074.76513671875
1574440020.6252596,18018,2412.05419921875
1574440020.6256156,18024,2174.46630859375
1574440020.6256754,18025,2061.286376953125
1574440020.625972,18030,2298.10791015625
1574440020.6266842,18042,2612.910888671875
1574440020.627039,18048,2401.241943359375
1574440020.627218,18051,2378.232421875
1574440045.8629155,19007,2310.83544921875
1574440045.8633761,19010,2306.364013671875
1574440045.863884,19018,2408.163330078125
1574440045.8645968,19030,2466.153564453125
1574440045.86501,19037,2528.692138671875
1574440045.8657784,19050,2619.427734375
1574440070.8938732,20003,2319.58740234375
1574440070.893926,20006,2292.6044921875
1574440070.8940353,20008,1917.64013671875
1574440070.8943179,20012,2487.9384765625
1574440070.8945594,20016,2132.876953125
1574440070.89468,20018,2172.397216796875
1574440070.8949914,20023,2149.196044921875
1574440070.8950515,20024,2331.21630859375
1574440070.8956099,20033,2529.29248046875
1574440070.8959737,20039,2868.51708984375
1574440070.8963299,20043,2073.977294921875
1574440070.8963902,20044,2761.287109375
1574440095.1699653,21001,2268.025390625
1574440095.1700513,21006,2232.8349609375
1574440095.1712155,21020,2315.853515625
1574440095.1727219,21043,2430.424072265625
1574440095.173039,21047,2108.72900390625
1574440095.1731303,21048,2005.9033203125
1574440095.1731997,21049,2192.0400390625
1574440119.2576318,22014,1934.5704345703125
1574440119.2583618,22026,2191.11962890625
1574440119.2584224,22027,2240.35595703125
1574440119.2587962,22033,2277.203369140625
1574440119.2593052,22040,2790.5166015625
1574440143.7630103,23013,2772.501220703125
1574440143.7631302,23015,3100.064453125
1574440143.7637486,23025,2344.366455078125
1574440143.764404,23036,2492.18603515625
1574440143.7645829,23039,2112.374267578125
1574440143.7647605,23042,2349.029052734375
1574440168.9054558,24009,2182.066650390625
1574440168.9059892,24015,2315.06689453125
1574440168.906529,24022,2550.614013671875
1574440168.907025,24028,2001.8592529296875
1574440168.9077086,24038,1941.3155517578125
1574440168.9080958,24044,2207.04736328125
1574440168.908288,24047,2404.177001953125
1574440194.225607,25005,2307.833984375
1574440194.2257385,25008,2267.788330078125
1574440194.22596,25011,2300.98583984375
1574440194.2260227,25012,2240.758544921875
1574440194.227112,25030,2515.32177734375
1574440219.047984,26007,2224.87841796875
1574440219.0485358,26010,1889.339599609375
1574440219.0487366,26013,1998.972412109375
1574440219.0488026,26014,2545.998779296875
1574440219.050281,26036,2102.482177734375
1574440219.051103,26048,2187.580322265625
1574440219.0512404,26050,1791.33056640625
1574440243.9059937,27001,2144.8408203125
1574440243.906078,27005,1960.517333984375
1574440243.9065301,27009,2358.83251953125
1574440243.9081542,27034,2057.83203125
1574440243.908218,27035,2213.42578125
1574440243.9089065,27046,1844.5732421875
1574440268.3960369,28001,2371.4208984375
1574440268.3961058,28005,2512.5986328125
