Wall time,Step,Value
1574439582.5980048,0,65718.484375
1574439607.1610534,1,5516.35986328125
1574439631.458778,2,4583.27978515625
1574439655.5002906,3,4154.46630859375
1574439679.5807037,4,3878.294677734375
1574439703.7289512,5,3576.6123046875
1574439727.7530649,6,3423.33935546875
1574439751.7260394,7,3235.160888671875
1574439775.7388062,8,3206.26318359375
1574439799.7984576,9,3115.716552734375
1574439824.6225607,10,2963.64990234375
1574439849.039521,11,2922.990234375
1574439873.697773,12,2877.099609375
1574439898.109834,13,2720.378173828125
1574439922.556927,14,2658.69482421875
1574439946.9153125,15,2680.900634765625
1574439971.2422316,16,2630.02294921875
1574439996.1039617,17,2520.828125
1574440020.6241024,18,2418.7529296875
1574440045.862701,19,2414.804443359375
1574440070.8937159,20,2360.935302734375
1574440095.1698523,21,2304.876220703125
1574440119.256805,22,2276.76513671875
1574440143.762151,23,2276.59130859375
1574440168.9047575,24,2220.74755859375
1574440194.2253892,25,2169.321533203125
1574440219.0477622,26,2153.294677734375
1574440243.905858,27,2118.671630859375
1574440268.3959253,28,2154.6279296875
1574440293.464672,29,2070.915283203125
1574440318.8645713,30,2043.936767578125
1574440343.397307,31,1976.293701171875
1574440368.1909585,32,2006.9935302734375
1574440392.4863338,33,1990.9544677734375
1574440417.332938,34,1953.547607421875
1574440442.2472868,35,1915.1717529296875
1574440466.619265,36,1918.256591796875
1574440491.1996653,37,1894.0589599609375
1574440515.5628023,38,1893.5811767578125
1574440540.345157,39,1897.0643310546875
1574440564.9575956,40,1859.7972412109375
1574440589.4997883,41,1894.7188720703125
1574440614.4873042,42,1834.634521484375
1574440639.255036,43,1797.6646728515625
1574440664.2730167,44,1187.0889892578125
1574440689.2955832,45,1121.6109619140625
1574440713.628018,46,1128.51708984375
1574440738.1263943,47,1108.670166015625
1574440762.9768476,48,1090.36572265625
1574440787.0323756,49,1079.8134765625
1574440811.1890485,50,1057.01611328125
1574440836.0396428,51,1076.90771484375
1574440860.522947,52,1063.574951171875
1574440884.8672318,53,1051.6898193359375
1574440909.2193534,54,1031.5428466796875
1574440933.9332361,55,1060.070556640625
1574440958.8432717,56,1012.3273315429688
1574440983.2519004,57,1031.1732177734375
1574441008.0045655,58,1028.9456787109375
1574441032.5572324,59,1020.9223022460938
1574441058.2163532,60,1008.0494384765625
1574441082.8213735,61,1019.6783447265625
1574441107.3059285,62,1011.8750610351562
1574441131.7349687,63,1005.8746337890625
1574441155.8901217,64,1022.6422119140625
1574441180.64985,65,1014.6456909179688
1574441205.7035508,66,995.6004638671875
1574441230.71056,67,1005.9229125976562
1574441255.181761,68,999.8128051757812
1574441280.4487135,69,976.915771484375
1574441305.7137873,70,989.6263427734375
1574441330.9221015,71,985.232177734375
1574441355.7993603,72,977.3372192382812
1574441380.2707672,73,995.9877319335938
1574441405.7503173,74,968.6277465820312
1574441430.4762511,75,964.7288818359375
1574441455.118207,76,977.2418823242188
1574441479.7602775,77,959.13134765625
1574441504.4873898,78,972.87353515625
1574441528.849124,79,945.08642578125
1574441553.9402337,80,943.6401977539062
1574441578.9152114,81,960.06494140625
1574441604.2013857,82,931.16943359375
1574441628.8108873,83,968.4506225585938
1574441653.7628,84,938.524658203125
1574441678.6611538,85,974.6947631835938
1574441703.5913153,86,940.412109375
1574441728.5753386,87,905.8079833984375
1574441753.1200888,88,938.3314819335938
1574441777.5561397,89,926.1055908203125
1574441802.1151493,90,904.2571411132812
1574441827.8002975,91,899.5545043945312
1574441852.7125883,92,917.6537475585938
1574441877.0609856,93,945.1337890625
1574441902.4063256,94,922.3026733398438
1574441927.1524146,95,895.2694091796875
1574441951.6392112,96,913.2062377929688
1574441975.7747633,97,903.9898681640625
1574442000.9798522,98,917.3200073242188
1574442025.86626,99,899.7890625
1574442050.9729068,100,915.3594360351562
1574442075.7114165,101,915.8103637695312
1574442100.2692459,102,900.4203491210938
1574442124.8507586,103,891.9912719726562
1574442149.4920278,104,905.1119995117188
1574442174.0723174,105,909.5902709960938
1574442198.967834,106,924.5382690429688
1574442223.7960904,107,897.3065795898438
1574442248.2896733,108,908.4478149414062
1574442273.3212006,109,897.7705688476562
1574442298.6425443,110,901.8111572265625
1574442323.3639073,111,919.1546630859375
1574442348.5368507,112,926.0265502929688
1574442374.5469265,113,923.3108520507812
1574442399.2284954,114,914.8738403320312
1574442424.13495,115,922.6455688476562
1574442448.716722,116,915.1585083007812
1574442473.587722,117,920.0921020507812
1574442498.4680262,118,902.5796508789062
1574442523.4480336,119,916.7579345703125
1574442548.5044236,120,918.2891235351562
1574442573.3172698,121,905.8998413085938
1574442598.6827817,122,906.0723266601562
1574442623.8416595,123,923.8814086914062
1574442648.5833156,124,902.76708984375
1574442673.3804564,125,929.5965576171875
1574442697.7381094,126,936.5289306640625
1574442722.1718252,127,923.3031005859375
1574442746.4120848,128,899.74755859375
1574442770.5668254,129,909.7125244140625
1574442795.123302,130,915.8848266601562
1574442820.162873,131,905.7133178710938
1574442845.4025161,132,917.0802001953125
1574442870.250123,133,912.4811401367188
