Wall time,Step,Value
1574439582.598083,0,0.0002500000118743628
1574439607.1611266,1,0.0002500000118743628
1574439631.458849,2,0.0002500000118743628
1574439655.50036,3,0.0002500000118743628
1574439679.5807776,4,0.0002500000118743628
1574439703.7290292,5,0.0002500000118743628
1574439727.7531378,6,0.0002500000118743628
1574439751.7261112,7,0.0002500000118743628
1574439775.738879,8,0.0002500000118743628
1574439799.7985303,9,0.0002500000118743628
1574439824.6226914,10,0.0002500000118743628
1574439849.039598,11,0.0002500000118743628
1574439873.6978438,12,0.0002500000118743628
1574439898.1099076,13,0.0002500000118743628
1574439922.5569987,14,0.0002500000118743628
1574439946.9153914,15,0.0002500000118743628
1574439971.2423072,16,0.0002500000118743628
1574439996.1040423,17,0.0002500000118743628
1574440020.624174,18,0.0002500000118743628
1574440045.8627734,19,0.0002500000118743628
1574440070.893795,20,0.0002500000118743628
1574440095.169925,21,0.0002500000118743628
1574440119.256876,22,0.0002500000118743628
1574440143.7622237,23,0.0002500000118743628
1574440168.904831,24,0.0002500000118743628
1574440194.2254791,25,0.0002500000118743628
1574440219.0478382,26,0.0002500000118743628
1574440243.9059324,27,0.0002500000118743628
1574440268.3959968,28,0.0002500000118743628
1574440293.4647424,29,0.0002500000118743628
1574440318.86465,30,0.0002500000118743628
1574440343.3973932,31,0.0002500000118743628
1574440368.1910307,32,0.0002500000118743628
1574440392.4864075,33,0.0002500000118743628
1574440417.3330114,34,0.0002500000118743628
1574440442.2473655,35,0.0002500000118743628
1574440466.6193366,36,0.0002500000118743628
1574440491.199736,37,0.0002500000118743628
1574440515.562873,38,0.0002500000118743628
1574440540.3452277,39,0.0002500000118743628
1574440564.957674,40,0.0002500000118743628
1574440589.499859,41,0.0002500000118743628
1574440614.4873784,42,0.0002500000118743628
1574440639.2551057,43,0.0002500000118743628
1574440664.2730887,44,2.499999936844688e-05
1574440689.2956793,45,2.499999936844688e-05
1574440713.6280906,46,2.499999936844688e-05
1574440738.1264825,47,2.499999936844688e-05
1574440762.976928,48,2.499999936844688e-05
1574440787.0324473,49,2.499999936844688e-05
1574440811.189128,50,2.499999936844688e-05
1574440836.039726,51,2.499999936844688e-05
1574440860.5230231,52,2.499999936844688e-05
1574440884.8673,53,2.499999936844688e-05
1574440909.2194266,54,2.499999936844688e-05
1574440933.9333158,55,2.499999936844688e-05
1574440958.8433423,56,2.499999936844688e-05
1574440983.251974,57,2.499999936844688e-05
1574441008.0046384,58,2.499999936844688e-05
1574441032.5573041,59,2.499999936844688e-05
1574441058.2164338,60,2.499999936844688e-05
1574441082.8214471,61,2.499999936844688e-05
1574441107.3060029,62,2.499999936844688e-05
1574441131.7350407,63,2.499999936844688e-05
1574441155.8901913,64,2.499999936844688e-05
1574441180.6499283,65,2.499999936844688e-05
1574441205.7036293,66,2.499999936844688e-05
1574441230.7106352,67,2.499999936844688e-05
1574441255.1818328,68,2.499999936844688e-05
1574441280.4487884,69,2.499999936844688e-05
1574441305.7138634,70,2.499999936844688e-05
1574441330.9221714,71,2.499999936844688e-05
1574441355.7994316,72,2.499999936844688e-05
1574441380.270836,73,2.499999936844688e-05
1574441405.750387,74,2.499999936844688e-05
1574441430.4763286,75,2.499999936844688e-05
1574441455.118286,76,2.499999936844688e-05
1574441479.7603528,77,2.499999936844688e-05
1574441504.4874632,78,2.499999936844688e-05
1574441528.8492007,79,2.499999936844688e-05
1574441553.9403112,80,2.499999936844688e-05
1574441578.9152856,81,2.499999936844688e-05
1574441604.2014592,82,2.499999936844688e-05
1574441628.8109598,83,2.499999936844688e-05
1574441653.7628884,84,2.499999936844688e-05
1574441678.661253,85,2.499999936844688e-05
1574441703.5913882,86,2.499999936844688e-05
1574441728.575413,87,2.499999936844688e-06
1574441753.1201618,88,2.499999936844688e-06
1574441777.5562108,89,2.499999936844688e-06
1574441802.1152291,90,2.499999936844688e-06
1574441827.8003693,91,2.499999936844688e-06
1574441852.7126606,92,2.499999936844688e-06
1574441877.0610635,93,2.499999936844688e-06
1574441902.4064002,94,2.499999936844688e-06
1574441927.152497,95,2.499999936844688e-06
1574441951.6392825,96,2.499999936844688e-06
1574441975.774835,97,2.499999936844688e-06
1574442000.9799242,98,2.499999936844688e-06
1574442025.866331,99,2.499999993688107e-07
1574442050.9729838,100,2.499999993688107e-07
1574442075.7114892,101,2.499999993688107e-07
1574442100.2693152,102,2.499999993688107e-07
1574442124.8508322,103,2.499999993688107e-07
1574442149.4920983,104,2.499999993688107e-07
1574442174.0723941,105,2.5000000292152436e-08
1574442198.9679072,106,2.5000000292152436e-08
